# Parte A – EMG emulado extendido | 20260422_151228
# Fs=1000 Hz | Duracion=52 s | Repeticiones=11
# Tiempo[s]	Amplitud[V]
0.846000	0.058736
0.847000	0.036850
0.848000	0.027194
0.849000	0.022045
0.850000	-0.041359
0.851000	-0.068073
0.852000	-0.066464
0.853000	-0.051980
0.854000	-0.039428
0.855000	-0.037175
0.856000	-0.004669
0.857000	0.014320
0.858000	0.014320
0.859000	0.034275
0.860000	0.085449
0.861000	0.092852
0.862000	0.102829
0.863000	0.069678
0.864000	-0.127615
0.865000	-0.161087
0.866000	-0.481005
0.867000	-0.370933
0.868000	-0.350978
0.869000	0.054873
0.870000	0.374469
0.871000	0.382516
0.872000	0.396355
0.873000	0.251845
0.874000	0.253454
0.875000	0.189406
0.876000	0.163980
0.877000	0.170739
0.878000	0.151428
0.879000	0.181360
0.880000	0.181038
0.881000	0.192625
0.882000	0.211292
0.883000	0.247661
0.884000	0.332951
0.885000	0.267294
0.886000	0.648041
0.887000	1.060329
0.888000	-0.020439
0.889000	-0.660275
0.890000	-0.718851
0.891000	-0.921616
0.892000	-0.356449
0.893000	-0.342610
0.894000	-0.158191
0.895000	-0.099936
0.896000	-0.101545
0.897000	-0.066142
0.898000	-0.092855
0.899000	-0.095430
0.900000	-0.094464
0.901000	-0.103154
0.902000	-0.090280
0.903000	-0.066142
0.904000	-0.029129
0.905000	-0.014324
0.906000	-0.006278
0.907000	0.005631
0.908000	0.016252
0.909000	0.013355
0.910000	-0.001450
0.911000	0.012389
0.912000	0.012389
0.913000	0.044252
0.914000	0.065173
0.915000	0.067426
0.916000	0.105082
0.917000	0.156900
0.918000	0.155290
0.919000	0.175889
0.920000	0.123749
0.921000	0.124393
0.922000	0.012068
0.923000	-0.100258
0.924000	-0.127937
0.925000	-0.169777
0.926000	-0.150788
0.927000	-0.094786
0.928000	-0.094786
0.929000	-0.067751
0.930000	-0.062601
0.931000	-0.072257
0.932000	-0.093177
0.933000	-0.101223
0.934000	-0.100901
0.935000	-0.083522
0.936000	-0.062601
0.937000	-0.061314
0.938000	-0.032991
0.939000	-0.020117
0.940000	-0.018508
0.941000	0.007884
0.942000	0.026551
